keyword_count,text_length,word_count,avg_word_length,url_count,email_count,exclamation_count,question_count,dollar_count
1,990,208,3.764423076923077,0,0,2,0,0
0,457,80,4.725,0,0,0,2,0
1,1258,235,4.357446808510638,0,0,0,1,0
1,570,100,4.71,0,0,1,0,0
3,443,89,3.9887640449438204,0,0,0,0,0
1,3283,529,5.207939508506616,0,0,0,0,0
3,847,150,4.653333333333333,0,0,0,1,0
8,7751,1290,5.0093023255813955,0,0,5,2,8
2,591,115,4.147826086956521,0,0,0,0,2
2,1830,330,4.548484848484849,0,0,1,1,0
5,1461,273,4.355311355311355,0,0,6,0,0
0,86,16,4.4375,0,0,0,0,0
4,5787,933,5.203644158628081,0,0,0,0,0
1,1177,220,4.3545454545454545,0,0,0,3,0
2,3040,552,4.509057971014493,0,0,0,0,0
0,378,71,4.338028169014085,0,0,0,1,0
0,516,77,5.714285714285714,0,0,0,1,0
1,1099,194,4.670103092783505,0,0,1,1,0
3,1248,235,4.314893617021276,0,0,0,0,0
2,8581,1364,5.2917888563049855,0,0,11,0,0
2,1246,256,3.87109375,0,0,0,0,0
1,261,49,4.346938775510204,0,0,2,0,0
1,658,115,4.730434782608696,0,0,0,6,0
0,31,6,4.333333333333333,0,0,0,0,0
0,227,39,4.846153846153846,0,0,0,0,0
1,685,125,4.488,0,0,0,0,0
1,446,73,5.123287671232877,0,0,0,0,0
0,3934,719,4.472878998609179,0,0,0,0,0
1,1009,189,4.343915343915344,0,0,7,0,0
1,443,75,4.92,0,0,0,0,0
2,5442,935,4.821390374331551,0,0,0,2,0
1,872,158,4.525316455696203,0,0,0,0,0
1,2986,559,4.343470483005366,0,0,0,0,0
1,1252,215,4.8279069767441865,0,0,5,0,0
0,1105,189,4.851851851851852,0,0,9,1,0
2,946,181,4.232044198895028,0,0,1,1,0
1,488,85,4.752941176470588,0,0,0,1,0
1,837,148,4.662162162162162,0,0,0,0,0
1,1669,313,4.335463258785943,0,0,0,1,0
1,521,90,4.8,0,0,1,0,0
2,674,117,4.769230769230769,0,0,0,0,0
2,1061,176,5.034090909090909,0,0,2,3,0
2,1802,303,4.9504950495049505,0,0,0,0,0
1,270,48,4.645833333333333,0,0,1,3,0
2,265,49,4.428571428571429,0,0,2,0,0
2,2569,509,4.049115913555992,0,0,0,2,3
0,357,70,4.114285714285714,0,0,1,0,0
1,200,41,3.902439024390244,0,0,1,1,0
1,444,85,4.235294117647059,0,0,1,0,1
2,311,57,4.473684210526316,0,0,0,0,0
3,269,55,3.909090909090909,0,0,1,0,0
0,341,59,4.796610169491525,0,0,0,0,0
0,403,76,4.315789473684211,0,0,0,4,0
0,5,1,5.0,0,0,0,0,0
1,381,72,4.305555555555555,0,0,0,0,0
1,805,146,4.52054794520548,0,0,0,0,0
2,287,56,4.142857142857143,0,0,0,0,1
2,3140,543,4.7845303867403315,0,0,0,3,2
0,221,42,4.285714285714286,0,0,0,0,0
4,2533,590,3.294915254237288,0,0,14,3,0
2,286,53,4.415094339622642,0,0,0,0,0
2,4240,709,4.981664315937941,0,0,1,1,0
0,545,94,4.808510638297872,0,0,1,2,0
2,4747,864,4.49537037037037,0,0,3,0,0
0,2813,446,5.309417040358745,0,0,1,3,0
4,1166,178,5.556179775280899,0,0,5,0,0
2,326,70,3.6714285714285713,0,0,0,0,0
2,3173,498,5.373493975903615,0,0,0,0,0
0,158,44,2.6136363636363638,0,0,0,0,0
1,1368,237,4.776371308016878,0,0,0,0,0
3,2094,371,4.646900269541779,0,0,2,1,1
1,2380,494,3.8198380566801617,0,0,0,0,0
1,265,54,3.925925925925926,0,0,0,0,0
2,968,175,4.537142857142857,0,0,0,0,0
1,2720,473,4.752642706131078,0,0,1,0,0
1,841,155,4.432258064516129,0,0,7,4,1
1,1460,226,5.464601769911504,0,0,0,0,0
0,783,173,3.531791907514451,0,0,0,11,0
3,1481,258,4.744186046511628,0,0,5,0,0
1,2863,541,4.293900184842884,0,0,0,5,1
8,6938,1167,4.946015424164524,0,0,2,0,2
0,90,18,4.055555555555555,0,0,0,6,0
0,2027,341,4.947214076246334,0,0,0,0,0
2,786,142,4.542253521126761,0,0,1,0,0
0,289,64,3.53125,0,0,0,0,0
1,419,82,4.121951219512195,0,0,1,0,0
1,246,46,4.369565217391305,0,0,0,0,0
0,195,30,5.533333333333333,0,0,0,3,0
1,1010,185,4.464864864864865,0,0,4,0,0
1,382,86,3.453488372093023,0,0,0,0,2
0,191,38,4.052631578947368,0,0,0,0,0
2,8439,1469,4.7454050374404355,0,0,0,0,0
0,41,8,4.25,0,0,0,0,0
1,1557,310,4.025806451612903,0,0,0,1,5
0,162,29,4.620689655172414,0,0,0,0,0
1,366,74,3.9594594594594597,0,0,0,1,1
5,3212,503,5.387673956262425,0,0,12,0,7
1,1776,301,4.903654485049834,0,0,0,0,0
3,2427,467,4.19914346895075,0,0,7,1,2
0,145,26,4.615384615384615,0,0,0,0,0
